Domain Name,Record Name,Record Type,Record Value
thomasfgoodwin.com,_138f7e1425f6507d977737c3ecda3f47.thomasfgoodwin.com.,CNAME,_7eb67afde6197a9f833e6c7371fcfe7c.acm-validations.aws.
www.thomasfgoodwin.com,_da2f7ebfb430547fbc4a8322b0fd7bc2.www.thomasfgoodwin.com.,CNAME,_8245e5472314393811389df93614370b.acm-validations.aws.
